Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Does the driver need business use'.",LSM,dim_driver,business_use_flag,varchar,"For driver in insurance policy denotes whether the vehicle is used for business purposes, affecting coverage and premiums.",,,
v1.2,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Is the driver an accredited driving instructor'.",LSM,dim_driver,accredited_instructor_flag,varchar,It indicates if the driver is accredited as an instructor,,,
v1.2,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Data Searches Notification provided to the client'.",LSM,dim_driver,data_search_notification_flag,varchar,"It indicates whether a system notifies users of data searches conducted, often for monitoring and security",,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,driver_first_name+driver_surname+driving_licence_number+driver_date_of_birth,LSM,dim_driver,Business_key,varchar,Technical column which has source business keys and it is unique for all the records.,,Yes,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,driver_first_name+driver_surname+driving_licence_number+driver_date_of_birth,LSM,dim_driver,conviction_key,varchar,This key is used to link the detail of the conviction(s) associated with the driver from dim_conviction table.,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,driver_first_name+driver_surname+driving_licence_number+driver_date_of_birth,LSM,dim_driver,restriction_key,varchar,This key is used to link the detail of the restriction(s) associated with the driver from dim_restriction table.,,,
v1.2,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Date consent given'.",LSM,dim_driver,driver_date_consent,timestamp,It refers to the date a driver granted permission for accessing or processing their personal information on a policy.,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'driver_date_of_birth'.",LSM,dim_driver,driver_date_of_birth,date,This field contains Date Of Birth of driver.,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Driver first name'.",LSM,dim_driver,driver_first_name,varchar,This field contains First Name of a driver.,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'driver_surname'.",LSM,dim_driver,driver_surname,varchar,This field contains SurName of a driver,,,
